failedTests,passedTests,seconds,timesteps
0,1,0.73,0
0,1,0.79,0
0,1,0.853,0
0,1,0.914,1
0,1,0.976,2
0,1,1.039,3
0,1,1.101,4
0,1,1.162,5
0,1,1.225,6
0,1,1.287,7
0,1,1.351,8
0,1,1.415,8
0,1,1.477,8
0,1,1.54,8
0,2,1.607,8
0,2,1.667,8
0,2,1.729,8
0,2,1.793,9
0,2,1.857,10
0,2,1.919,11
0,2,1.983,11
0,2,2.044,11
0,2,2.108,11
0,3,2.171,11
0,3,2.232,12
0,3,2.294,13
0,3,2.356,14
0,3,2.419,15
0,3,2.481,16
0,3,2.544,17
0,3,2.606,18
0,3,2.668,19
0,3,2.732,20
0,3,2.796,21
0,3,2.858,22
0,3,2.922,23
0,3,2.985,24
0,3,3.048,25
0,3,3.111,26
0,3,3.174,26
0,4,3.24,26
0,4,3.299,27
0,4,3.363,28
0,4,3.427,29
0,4,3.489,30
0,4,3.551,31
0,4,3.614,31
0,5,3.679,31
0,5,3.739,32
0,5,3.801,33
0,5,3.865,34
0,5,3.927,35
0,5,3.988,36
0,5,4.049,37
0,5,4.11,37
0,5,4.176,37
0,5,4.234,38
0,5,4.298,39
0,5,4.361,40
0,5,4.425,41
0,5,4.489,42
0,5,4.55,43
0,5,4.613,44
0,5,4.677,45
0,5,4.738,46
0,5,4.8,47
0,6,4.865,48
0,7,4.93,48
0,9,4.993,49
0,10,5.057,50
0,10,5.118,50
0,10,5.181,51
0,10,5.245,51
0,10,5.311,51
0,10,5.37,52
0,10,5.432,53
0,10,5.493,54
0,10,5.555,55
0,10,5.617,56
0,10,5.679,57
0,10,5.743,58
0,10,5.807,59
0,10,5.869,60
0,10,5.932,61
0,10,5.993,62
0,11,6.057,63
0,13,6.119,64
0,14,6.18,64
0,15,6.243,65
0,16,6.305,65
0,16,6.368,66
0,16,6.431,66
0,17,6.494,66
0,17,6.555,67
0,17,6.616,68
0,17,6.68,69
0,17,6.742,70
0,17,6.805,71
0,17,6.867,72
0,17,6.928,72
0,18,6.99,72
0,18,7.051,73
0,18,7.114,74
0,18,7.178,75
0,18,7.242,76
0,18,7.306,77
0,18,7.37,78
0,18,7.434,79
0,18,7.497,80
0,18,7.561,80
0,18,7.626,80
0,18,7.689,81
0,18,7.753,82
0,18,7.817,83
0,18,7.881,84
0,18,7.943,85
0,18,8.007,86
0,18,8.071,87
1,18,8.135,88
1,20,8.201,89
1,21,8.264,89
1,23,8.327,90
1,23,8.389,91
1,23,8.452,91
2,23,8.516,91
2,23,8.575,92
2,23,8.637,93
2,23,8.699,94
2,23,8.761,95
2,23,8.823,96
2,23,8.887,96
2,24,8.952,96
2,25,9.013,96
2,25,9.076,97
2,25,9.138,98
2,25,9.199,98
2,25,9.263,98
2,25,9.323,99
2,25,9.385,99
2,25,9.45,99
2,25,9.511,100
2,25,9.573,101
2,25,9.636,102
2,25,9.699,103
2,25,9.76,104
2,25,9.823,105
2,25,9.885,106
2,25,9.947,107
2,25,10.011,108
2,25,10.072,109
2,26,10.137,110
2,27,10.198,110
2,28,10.26,111
2,28,10.323,111
2,28,10.383,112
2,28,10.447,113
2,29,10.51,114
2,30,10.574,115
2,31,10.636,115
2,31,10.695,116
2,31,10.757,117
2,31,10.819,118
2,31,10.882,119
2,31,10.944,120
2,31,11.007,121
2,31,11.069,122
2,31,11.133,123
2,31,11.196,124
2,31,11.259,125
2,31,11.322,126
2,31,11.384,127
2,31,11.447,128
2,31,11.509,129
2,31,11.572,130
2,31,11.633,131
2,31,11.695,132
2,31,11.759,132
2,31,11.825,132
2,31,11.884,133
2,31,11.945,134
2,31,12.007,135
2,31,12.068,136
2,31,12.131,137
2,31,12.193,138
2,31,12.257,139
2,31,12.321,140
2,31,12.383,141
2,31,12.447,142
2,31,12.508,143
2,31,12.572,144
2,32,12.636,144
2,32,12.7,145
2,32,12.763,145
3,32,12.828,145
3,32,12.887,146
3,32,12.95,147
3,32,13.012,148
3,32,13.076,148
3,33,13.139,148
3,33,13.2,149
3,33,13.262,150
3,33,13.326,151
3,33,13.388,152
3,33,13.452,153
3,33,13.514,154
3,33,13.578,155
3,33,13.642,156
3,33,13.706,157
3,33,13.77,158
3,33,13.833,159
3,33,13.896,160
3,33,13.96,161
3,33,14.023,162
3,33,14.084,163
3,33,14.146,164
3,33,14.21,165
3,33,14.274,166
3,33,14.338,167
3,33,14.402,168
3,34,14.466,168
3,34,14.529,169
3,34,14.592,170
3,34,14.655,171
3,34,14.719,171
3,34,14.784,171
3,34,14.845,172
3,34,14.907,173
3,34,14.969,174
3,34,15.033,175
3,34,15.094,176
3,34,15.157,177
3,34,15.221,178
3,34,15.283,179
3,34,15.347,180
3,34,15.408,181
3,34,15.471,182
3,34,15.535,183
3,34,15.596,184
3,34,15.657,185
3,34,15.72,186
3,34,15.783,187
3,34,15.845,188
3,34,15.908,189
3,34,15.97,190
3,34,16.032,191
3,34,16.095,192
3,34,16.157,193
3,34,16.219,194
3,34,16.282,195
3,34,16.344,196
3,35,16.409,197
3,36,16.471,197
3,37,16.535,198
4,37,16.598,198
4,37,16.659,199
4,37,16.723,200
4,37,16.787,200
4,38,16.852,200
4,38,16.915,201
4,38,16.979,202
4,38,17.041,203
4,38,17.105,203
